Assortment,Probability
"[0, 7, 22, 17, 5, 27]","[0.14679575340629542, 0.4372150220606725, 0.055193105709975876, 0.2716361128595056, 0.08643358997797367, 0.002726415985577109]"
"[0, 15]","[0.33079306552456783, 0.6692069344754323]"
"[0, 4, 30]","[0.5043893402922526, 0.3563582967785346, 0.13925236292921309]"
"[0, 26, 18, 12]","[0.21241067192158672, 0.0013923393874128189, 0.46808280828483606, 0.31811418040616446]"
"[0, 17, 26, 21, 1]","[0.2703226912386345, 0.59726976692359, 0.004166340570477922, 0.05089629162241962, 0.07734490964487825]"
"[0, 4, 18, 25, 29, 9]","[0.08110307681754095, 0.032684157479964907, 0.23658959028788185, 0.12189890728358269, 0.002385442820758066, 0.5253388253102718]"
"[0, 8]","[0.27826220719908945, 0.7217377928009108]"
"[0, 24, 29]","[0.38506199968513743, 0.49444598435105414, 0.12049201596380855]"
"[0, 24, 15, 26]","[0.2228032302481826, 0.1472265673406074, 0.6290708294507602, 0.0008993729604497667]"
"[0, 16, 3, 22, 27]","[0.26652976660847755, 0.5284694515428064, 0.12609863987118625, 0.07205555563420057, 0.006846586343329404]"
"[0, 19, 7, 26, 5, 21]","[0.12817982205370973, 0.39729697012699244, 0.40290191469251524, 0.0009996509260242021, 0.0566726379811978, 0.013949004219560825]"
"[0, 19]","[0.206054334119658, 0.7939456658803423]"
"[0, 24, 15]","[0.22289149044918855, 0.14740308774261934, 0.6297054218081921]"
"[0, 21, 7, 17]","[0.1876486418590035, 0.05734188695022077, 0.44886994656071566, 0.3061395246300602]"
"[0, 28, 2, 13, 21]","[0.2789070383404366, 0.005931965514931412, 0.06572646381524903, 0.5928969081209703, 0.05653762420841285]"
"[0, 1, 6, 11, 26, 22]","[0.15858192352555867, 0.03569756199661927, 0.42360484981622115, 0.2978093382941911, 0.0011959951567185106, 0.08311033121069145]"
"[0, 29]","[0.7419953994050248, 0.25800460059497554]"
"[0, 17, 26]","[0.3111011495813528, 0.6820503949565062, 0.00684845546214101]"
"[0, 13, 17, 2]","[0.21967629931452326, 0.3652365437422192, 0.36440587121511314, 0.050681285728144614]"
"[0, 30, 21, 20, 1]","[0.14721654598930456, 0.009270649475299134, 0.008044109096689648, 0.8041518783732265, 0.03131681706548024]"
"[0, 17, 21, 15, 1, 9]","[0.10688386296368471, 0.14365125874790147, 0.0338136924800673, 0.2515611489388217, 0.019360796577393192, 0.44472924029213184]"
"[0, 17]","[0.31320077927361195, 0.686799220726388]"
"[0, 28, 19]","[0.2057012933156342, 0.006971024524631505, 0.7873276821597344]"
"[0, 4, 30, 23]","[0.361492233446325, 0.25282683180130877, 0.09727349358118258, 0.28840744117118383]"
"[0, 21, 6, 1, 15]","[0.1472907482431841, 0.05409621723648739, 0.37571187119950145, 0.035601691229707653, 0.3872994720911197]"
"[0, 24, 27, 9, 12, 4]","[0.0955673315162153, 0.10609794119939185, 0.0009312145537006559, 0.530729260670875, 0.22217997358173033, 0.04449427847808703]"
"[0, 16]","[0.35380467873167504, 0.6461953212683251]"
"[0, 26, 13]","[0.3695827135635998, 0.004245179184588888, 0.6261721072518115]"
"[0, 23, 7, 30]","[0.1926841579132283, 0.1527884101421829, 0.638797579586097, 0.01572985235849196]"
"[0, 5, 20, 29, 22]","[0.1368113341748959, 0.0742460179251832, 0.7690735813906772, 0.004620917911511129, 0.015248148597732865]"
"[0, 23, 14, 29, 17, 5]","[0.167303399770594, 0.0672810599551282, 0.3757659134076151, 0.002364410295276973, 0.3136765807444322, 0.07360863582695362]"
"[0, 18]","[0.2624907787499089, 0.7375092212500911]"
"[0, 28, 8]","[0.268568736390486, 0.013805678688914403, 0.7176255849205997]"
"[0, 13, 24, 3]","[0.23211194138848928, 0.5714654464457221, 0.1352055685842895, 0.06121704358149935]"
"[0, 22, 15, 2, 8]","[0.12208360964301612, 0.06806619060572384, 0.3305174088585322, 0.036253889604616785, 0.44307890128811117]"
"[0, 30, 20, 24, 9, 2]","[0.07793469661187792, 0.0026502234237759208, 0.37917715455617257, 0.054248872542388527, 0.4754299979606752, 0.010559054905109942]"
"[0, 11]","[0.3918331045875865, 0.6081668954124135]"
"[0, 11, 18]","[0.21879355908642073, 0.2896664911950713, 0.4915399497185082]"
"[0, 26, 14, 3]","[0.2859484795355673, 0.0034869654811951947, 0.6138729598344015, 0.0966915951488362]"
"[0, 17, 8, 15, 24]","[0.08706915536272822, 0.1512116510119897, 0.39042091945796514, 0.2610180154432921, 0.11028025872402505]"
"[0, 12, 19, 22, 7, 5]","[0.09993230193491828, 0.17736286978680735, 0.2927886248091269, 0.02769831766122595, 0.35543393933610795, 0.04678394647181379]"
"[0, 11]","[0.3918331045875865, 0.6081668954124135]"
"[0, 24, 18]","[0.20349957755475395, 0.12595811486838795, 0.6705423075768583]"
"[0, 12, 2, 16]","[0.24658193264525846, 0.35833377789851895, 0.06261734725634126, 0.33246694219988154]"
"[0, 10, 12, 24, 27]","[0.07913908768494132, 0.6249340747553654, 0.18349161423330052, 0.11183722574803373, 0.0005979975783592553]"
"[0, 25, 29, 7, 11, 18]","[0.08699506400765325, 0.13592363965783, 0.0016859087053894088, 0.37201985770002743, 0.17233413069125347, 0.23104139923784658]"
"[0, 3]","[0.5770967690161186, 0.42290323098388155]"
"[0, 28, 24]","[0.3904900359558693, 0.09730848952584745, 0.5122014745182835]"
"[0, 6, 24, 14]","[0.11666032907071383, 0.38571379449235543, 0.1425885498043632, 0.3550373266325676]"
"[0, 24, 27, 6, 18]","[0.1378855266620328, 0.11527532941295987, 0.0016264372193421927, 0.39698056644525487, 0.34823214026041033]"
"[0, 16, 6, 29, 11, 2]","[0.16706210033848554, 0.19472214466380636, 0.3649817485942625, 0.007319410267719068, 0.21509225956737454, 0.05082233656835218]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 1, 21]","[0.4819154069256886, 0.25920907510738317, 0.2588755179669283]"
"[0, 24, 29, 12]","[0.25391923274283934, 0.16078535410447065, 0.010067683161751263, 0.575227729990939]"
"[0, 14, 25, 9, 4]","[0.07702631947782512, 0.26427290598670605, 0.13265828530620233, 0.4914056029603453, 0.03463688626892125]"
"[0, 27, 19, 15, 21, 5]","[0.13700280128502548, 0.0005295612060357091, 0.4336526386052512, 0.36165694513908647, 0.010789638266518832, 0.05636841549808244]"
"[0, 26]","[0.7981992392461229, 0.20180076075387726]"
"[0, 1, 24]","[0.3681348403215771, 0.17935777627420849, 0.4525073834042145]"
"[0, 3, 12, 8]","[0.16389081559193042, 0.07256464491788137, 0.27723829241883713, 0.4863062470713513]"
"[0, 9, 29, 12, 4]","[0.1375157187118919, 0.5474465881154548, 0.005373393485942976, 0.23364046006615982, 0.07602383962055072]"
"[0, 13, 30, 7, 17, 4]","[0.134091535619692, 0.2311715595092687, 0.007304258965667835, 0.36955869716844447, 0.19459632357163792, 0.06327762516528927]"
"[0, 19]","[0.206054334119658, 0.7939456658803423]"
"[0, 2, 30]","[0.5665340384048011, 0.27271950365208036, 0.1607464579431187]"
"[0, 15, 22, 10]","[0.093735052200286, 0.25975089900984893, 0.06272682447930564, 0.5837872243105595]"
"[0, 8, 16, 3, 27]","[0.1790571667470976, 0.513112076064148, 0.23209513452972946, 0.06853672513710324, 0.0071988975219219]"
"[0, 20, 6, 30, 5, 14]","[0.08767032079453557, 0.36822001551660155, 0.3012777037557141, 0.0029262240461038996, 0.03449455581769339, 0.20541118006935163]"
"[0, 2]","[0.6171762553809882, 0.382823744619012]"
"[0, 21, 7]","[0.23840293044847857, 0.09751300679347279, 0.6640840627580489]"
"[0, 13, 5, 8]","[0.14507203829466914, 0.2886607324717084, 0.09577174395745494, 0.4704954852761677]"
"[0, 15, 25, 8, 16]","[0.07487987744931056, 0.2687964460279751, 0.14040954894589097, 0.3978051169974766, 0.11810901057934699]"
"[0, 21, 28, 4, 18, 6]","[0.15992414516996156, 0.028818201276559124, 0.004208224270794567, 0.060052452392734795, 0.35657185082398435, 0.3904251260659658]"
"[0, 10]","[0.15928294232269213, 0.840717057677308]"
"[0, 18, 23]","[0.21784803165946964, 0.6877314447835167, 0.09442052355701397]"
"[0, 1, 30, 15]","[0.2873846070020256, 0.05917081096530121, 0.011830299428661711, 0.6416142826040117]"
"[0, 16, 15, 3, 25]","[0.15507550215830723, 0.24567158424907498, 0.43064702895295737, 0.03382194289825967, 0.13478394174140096]"
"[0, 3, 20, 10, 30, 22]","[0.07286404903513925, 0.016266834597504706, 0.3464610912942809, 0.5468003723884222, 0.002758307453464277, 0.014849345231188943]"
"[0, 2]","[0.6171762553809882, 0.382823744619012]"
"[0, 27, 8]","[0.27004933597890474, 0.010782590632432271, 0.7191680733886632]"
"[0, 11, 5, 8]","[0.15303825570853252, 0.25088884199104144, 0.10129232694160165, 0.4947805753588245]"
"[0, 25, 10, 16, 14]","[0.05689838075914727, 0.12715033167009837, 0.5297947812507608, 0.09656460764827016, 0.18959189867172344]"
"[0, 20, 29, 25, 1, 15]","[0.0905743509731666, 0.48244376229165425, 0.0012368515108820088, 0.08958583738085589, 0.00897414999789206, 0.32718504784554936]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 10, 4]","[0.12732013127499428, 0.80471737079741, 0.06796249792759587]"
"[0, 10, 27, 21]","[0.12448290213604599, 0.8141627840090058, 0.0018744967466060747, 0.05947981710834218]"
"[0, 28, 22, 8, 16]","[0.16614286424043978, 0.003875007295453166, 0.08407562881695907, 0.5168105631365048, 0.22909593651064342]"
"[0, 22, 2, 8, 11, 19]","[0.10668534520644757, 0.033748514252977736, 0.01880685429909348, 0.3989220286891385, 0.14526414739202498, 0.2965731101603178]"
"[0, 8]","[0.27826220719908945, 0.7217377928009108]"
"[0, 1, 22]","[0.4460911420638254, 0.23228814288201965, 0.3216207150541551]"
"[0, 27, 19, 10]","[0.09643832744182226, 0.0016571199904306735, 0.3068322676698088, 0.5950722848979384]"
"[0, 3, 18, 24, 13]","[0.1485531302496055, 0.03599514809524882, 0.38825651989048365, 0.09686303285978716, 0.33033216890487505]"
"[0, 6, 29, 2, 11, 23]","[0.13923846874088894, 0.42258543556638223, 0.0033687337479323446, 0.03833097374393965, 0.29266807229599523, 0.10380831590486182]"
"[0, 18]","[0.2624907787499089, 0.7375092212500911]"
"[0, 28, 14]","[0.3531892600692549, 0.007938259086309223, 0.6388724808444362]"
"[0, 14, 5, 21]","[0.2507821640937873, 0.5955636572579213, 0.11480233538245227, 0.03885184326583945]"
"[0, 17, 12, 9, 2]","[0.12807388609268433, 0.17120996567222216, 0.18111274680938624, 0.484588239977611, 0.03501516144809638]"
"[0, 11, 24, 26, 20, 7]","[0.08365017515799093, 0.13767774915500866, 0.05936895834670533, 8.826020100595152e-05, 0.37558877529923274, 0.3436260818400566]"
"[0, 23]","[0.45415027380082446, 0.5458497261991758]"
"[0, 7, 16]","[0.2397529089418106, 0.46995931675157143, 0.29028777430661806]"
"[0, 23, 20, 8]","[0.09823226242992159, 0.03463578878966842, 0.44360348682881307, 0.423528461951597]"
"[0, 7, 22, 12, 5]","[0.13112063845705962, 0.43987704664897703, 0.0611690263827662, 0.2880316433561415, 0.07980164515505576]"
"[0, 14, 5, 6, 22, 26]","[0.12690048288549463, 0.35114297265617894, 0.07745112053225196, 0.3850895737216974, 0.05879802879733547, 0.0006178214070416606]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 22, 15]","[0.25708798742422695, 0.09565995755832471, 0.6472520550174485]"
"[0, 16, 6, 5]","[0.18846103633318725, 0.2800002354633059, 0.41618643763463026, 0.11535229056887664]"
"[0, 24, 4, 6, 14]","[0.10736392217202002, 0.11661105841511071, 0.04476698898073919, 0.38418560970644877, 0.34707242072568145]"
"[0, 4, 17, 10, 30, 11]","[0.09599603264528891, 0.0483674380934421, 0.14394228225476766, 0.573541973744424, 0.006236171667320085, 0.1319161015947574]"
"[0, 20]","[0.15439399488770264, 0.8456060051122973]"
"[0, 16, 25]","[0.23465156674907256, 0.5662170745582379, 0.1991313586926897]"
"[0, 28, 18, 8]","[0.1707873823907896, 0.00494498864993066, 0.34584672610865036, 0.47842090285062966]"
"[0, 12, 8, 26, 4]","[0.15660291453607328, 0.27397335034094794, 0.4834233252834287, 0.002098420995460431, 0.08390198884408978]"
"[0, 15, 3, 8, 22, 18]","[0.09979413755770555, 0.2537469819547904, 0.028077218889430402, 0.3794736555665719, 0.04379933326913872, 0.1951086727623632]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 2, 7]","[0.2551285189000743, 0.07870827690129388, 0.6661632041986318]"
"[0, 9, 18, 13]","[0.12595725590687934, 0.4585919016567634, 0.22140294410108063, 0.19404789833527675]"
"[0, 6, 18, 21, 2]","[0.16937514347847016, 0.3945900868932981, 0.37080543300234303, 0.035450216709008046, 0.02977911991688085]"
"[0, 24, 14, 30, 18, 6]","[0.09275118968255226, 0.10573722405300652, 0.24869948890091606, 0.002460426685760567, 0.22204616082247688, 0.32830550985528784]"
"[0, 12]","[0.38229898441852733, 0.6177010155814728]"
"[0, 14, 1]","[0.30707713201215864, 0.6263289824995799, 0.06659388548826163]"
"[0, 27, 20, 7]","[0.11524116291661676, 0.0008429543526947044, 0.49827911241275313, 0.38563677031793553]"
"[0, 23, 7, 15, 17]","[0.10332105260821786, 0.08909367065237603, 0.35367538139168314, 0.2814008337736795, 0.17250906157404375]"
"[0, 20, 27, 24, 5, 12]","[0.10689884324540164, 0.5607354587318212, 0.0004214771763473522, 0.05123449907304787, 0.03919806096840608, 0.24151166080497605]"
"[0, 8]","[0.27826220719908945, 0.7217377928009108]"
"[0, 30, 1]","[0.5915549794556201, 0.17021203541326932, 0.23823298513111082]"
"[0, 20, 22, 29]","[0.14816583551541482, 0.8252970798870902, 0.020693618857258626, 0.00584346574023654]"
"[0, 22, 30, 15, 4]","[0.2356728236164648, 0.06176938002294418, 0.007379123894024621, 0.6142406039804406, 0.08093806848612617]"
"[0, 20, 9, 5, 22, 28]","[0.08530135004162157, 0.3916317766451604, 0.47472858878980106, 0.03298934207803643, 0.014261031318350485, 0.0010879111270301535]"
"[0, 8]","[0.27826220719908945, 0.7217377928009108]"
"[0, 29, 13]","[0.3659399155764276, 0.0140952778192672, 0.6199648066043054]"
"[0, 12, 19, 21]","[0.16431414268934394, 0.2824952089923101, 0.5338682839024815, 0.01932236441586454]"
"[0, 5, 7, 21, 20]","[0.10353421852847385, 0.03846431884900969, 0.3790032449134497, 0.006803717425320357, 0.4721945002837466]"
"[0, 22, 9, 4, 20, 12]","[0.07928988522808902, 0.01463682226283252, 0.4235899273328988, 0.023575370277788825, 0.3253561796331847, 0.1335518152652064]"
"[0, 3]","[0.5770967690161186, 0.42290323098388155]"
"[0, 25, 6]","[0.168581005000705, 0.26498662548045615, 0.5664323695188389]"
"[0, 26, 14, 19]","[0.1614966317765012, 0.0005295612060357091, 0.3437816614932608, 0.49419214552420243]"
"[0, 10, 18, 11, 1]","[0.09812860432348414, 0.5619094568716201, 0.1954716502621795, 0.12675202377080647, 0.017738264771909852]"
"[0, 7, 21, 17, 30, 2]","[0.17281345781273028, 0.44037989766768837, 0.045051755714746275, 0.2902155446091135, 0.013105963461600359, 0.03843338073412152]"
"[0, 9]","[0.22387921129745417, 0.7761207887025459]"
"[0, 11, 17]","[0.2556480626096282, 0.3193800493556723, 0.4249718880346997]"
"[0, 28, 23, 3]","[0.37690546394107205, 0.07111707888256431, 0.31651004601153254, 0.23546741116483125]"
"[0, 20, 28, 6, 3]","[0.11295761642997387, 0.5076652469089975, 0.0021482422359002593, 0.353659236577722, 0.02356965784740636]"
"[0, 5, 13, 18, 29, 9]","[0.10376267521195788, 0.0599464072890622, 0.18760203444139686, 0.19670226925503845, 0.0034071727084984678, 0.44857944109404624]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 28, 2]","[0.5891019714922433, 0.1135761987315847, 0.2973218297761722]"
"[0, 9, 12, 3]","[0.14440841993749787, 0.5527650668456385, 0.23782765181147328, 0.0649988614053904]"
"[0, 28, 8, 17, 25]","[0.11082850537875455, 0.002169274761381352, 0.49346852523842893, 0.24404594416358785, 0.14948775045784743]"
"[0, 28, 23, 11, 20, 1]","[0.12197481703894196, 0.0013935480842115064, 0.03212375173787129, 0.22026118554101734, 0.6081588321681708, 0.016087865429787303]"
"[0, 11]","[0.3918331045875865, 0.6081668954124135]"
"[0, 3, 7]","[0.24139453122387966, 0.09732689191578059, 0.66127857686034]"
"[0, 8, 4, 23]","[0.14896113007575434, 0.6680839152351665, 0.07087734362483909, 0.11207761106424016]"
"[0, 4, 28, 6, 25]","[0.14241852447441233, 0.06677753495106377, 0.00419857402518718, 0.5507715906795702, 0.23583377586976673]"
"[0, 13, 25, 20, 28, 10]","[0.048600991006063105, 0.1302758707073293, 0.08204719497014935, 0.2583707448161389, 0.0005097373773533037, 0.4801954611229662]"
"[0, 30]","[0.7116249158598886, 0.2883750841401116]"
"[0, 25, 4]","[0.30421082976394526, 0.46861777958543666, 0.22717139065061825]"
"[0, 1, 25, 19]","[0.14682534312667092, 0.037190613140392535, 0.1336489180849374, 0.6823351256479994]"
"[0, 13, 17, 26, 10]","[0.10813042952403178, 0.17200455516019922, 0.15311340470253065, 0.0008826020100595152, 0.565869008603179]"
"[0, 11, 19, 30, 4, 24]","[0.13552923472899933, 0.24135505715845068, 0.5003761429958518, 0.003943468605094852, 0.03991273942695799, 0.07888335708464549]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 1, 24]","[0.3681348403215771, 0.17935777627420849, 0.4525073834042145]"
"[0, 14, 2, 20]","[0.12213607449399502, 0.29947948261378815, 0.018282114930546794, 0.5601023279616703]"
"[0, 13, 24, 1, 20]","[0.10821563218056718, 0.2708203001880227, 0.056490353855746085, 0.013142281628202385, 0.5513314321474618]"
"[0, 8, 25, 28, 3, 18]","[0.09807976914115162, 0.4667731483979328, 0.1295821585946987, 0.0018558816147223568, 0.02499342160454021, 0.27871562064695443]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 19, 12]","[0.171601500804358, 0.5446676473892487, 0.28373085180639346]"
"[0, 11, 3, 9]","[0.1475447097583468, 0.21709266261201587, 0.06624467780254875, 0.5691179498270889]"
"[0, 17, 30, 13, 10]","[0.10748811176167654, 0.15220630633715757, 0.005642846615591999, 0.1699061341647388, 0.5647566011208353]"
"[0, 19, 10, 3, 29, 21]","[0.0869650069095863, 0.28699740384519745, 0.5868223295900572, 0.0233069623178188, 0.002689871081140731, 0.01321842625619964]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 21, 20]","[0.15204222316960048, 0.009869654687396121, 0.8380881221430034]"
"[0, 6, 18, 29]","[0.19247396440386128, 0.3985279786190226, 0.39928613305849253, 0.00971192391862372]"
"[0, 4, 30, 21, 15]","[0.24635768433205713, 0.087882006689583, 0.008021441656379857, 0.03998745738628221, 0.6177514099356981]"
"[0, 11, 10, 26, 25, 1]","[0.06610160311954295, 0.16064293699521287, 0.6249784444358024, 0.00017652040201190304, 0.13368481389342662, 0.014415681154003466]"
"[0, 11]","[0.3918331045875865, 0.6081668954124135]"
"[0, 4, 9]","[0.1722764696786787, 0.08723315144042519, 0.7404903788808961]"
"[0, 15, 19, 22]","[0.143465958774057, 0.37079834997067634, 0.4492891218339081, 0.0364465694213587]"
"[0, 9, 21, 5, 17]","[0.12224945364144371, 0.5534428016585347, 0.03341415724915542, 0.07721102352560204, 0.21368256392526427]"
"[0, 3, 30, 10, 24, 13]","[0.07331795023312294, 0.03027742688527859, 0.002477166851596499, 0.5995843506230261, 0.09504589665380103, 0.19929720875317505]"
"[0, 4]","[0.5375828219032884, 0.46241717809671173]"
"[0, 29, 12]","[0.3775088038182778, 0.017256482227307385, 0.6052347139544149]"
"[0, 2, 13, 25]","[0.215795153168565, 0.04157654624681166, 0.5595779658962515, 0.18305033468837195]"
"[0, 4, 17, 23, 11]","[0.18912273178639716, 0.06480536843029011, 0.37448676384739277, 0.07713294026227722, 0.29445219567364295]"
"[0, 28, 14, 23, 4, 20]","[0.11040851116727042, 0.0012368515108820088, 0.29524409182227523, 0.02831906538004344, 0.030620582758828847, 0.5341708973607002]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 5, 26]","[0.48874200926904166, 0.45198041969221, 0.05927757103874847]"
"[0, 26, 2, 12]","[0.3173678268901463, 0.005489044861562639, 0.08934944350508726, 0.5877936847432039]"
"[0, 5, 26, 6, 23]","[0.17020576746505128, 0.1057783409289336, 0.002265291151864946, 0.588292162910999, 0.1334584375431515]"
"[0, 19, 13, 4, 28, 7]","[0.11073433961170583, 0.3001528169457286, 0.19867530803877137, 0.03754487432480928, 0.00205877333809562, 0.3508338877408894]"
"[0, 2]","[0.6171762553809882, 0.382823744619012]"
"[0, 13, 1]","[0.3185738508099239, 0.6103398725237219, 0.0710862766663544]"
"[0, 18, 4, 25]","[0.17452155668383063, 0.5925598889873497, 0.08875476257807449, 0.14416379175074534]"
"[0, 11, 20, 10, 22]","[0.07192483024971497, 0.10030557593329928, 0.30794388159323594, 0.5042050376055695, 0.015620674618180615]"
"[0, 23, 12, 5, 26, 9]","[0.10238471297658798, 0.07524124039697089, 0.22320782657490487, 0.06572318503504163, 0.0007745179803711583, 0.5326685170361236]"
"[0, 3]","[0.5770967690161186, 0.42290323098388155]"
"[0, 18, 23]","[0.21784803165946964, 0.6877314447835167, 0.09442052355701397]"
"[0, 3, 27, 18]","[0.23639186332551132, 0.09826241468135688, 0.00522546298254934, 0.6601202590105826]"
"[0, 27, 6, 19, 1]","[0.1505704674054142, 0.002460426685760567, 0.37536219474688926, 0.451658286836627, 0.019948624325309153]"
"[0, 13, 17, 1, 22, 9]","[0.10766443338514167, 0.20036192052556234, 0.152120281009171, 0.020029320175224997, 0.05497653097277419, 0.4648475139321261]"
"[0, 16]","[0.35380467873167504, 0.6461953212683251]"
"[0, 28, 22]","[0.48490478539044574, 0.1441973155076237, 0.3708978991019307]"
"[0, 2, 21, 12]","[0.2880916158832906, 0.07068797400245039, 0.059586486590533005, 0.5816339235237262]"
"[0, 24, 15, 4, 17]","[0.15588267102712006, 0.0983497009533344, 0.4096177262382303, 0.04505293136502469, 0.29109697041629073]"
"[0, 23, 2, 6, 30, 13]","[0.12897818120111315, 0.09975022508077531, 0.03537700741911213, 0.3971695593384827, 0.004765745661976333, 0.3339592812985405]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 22, 1]","[0.4460911420638254, 0.3216207150541551, 0.23228814288201965]"
"[0, 22, 20, 6]","[0.11278109602796196, 0.020652762503095126, 0.5086143736800983, 0.35795176778884474]"
"[0, 30, 22, 4, 8]","[0.16184977640928427, 0.009713132615422407, 0.07798506653636317, 0.07779940312839176, 0.6726526213105384]"
"[0, 8, 25, 1, 20, 28]","[0.07515359940297295, 0.4193871361644074, 0.09297523973277182, 0.006893548934958346, 0.40446170828369604, 0.001128767481193652]"
"[0, 14]","[0.3550131820202494, 0.6449868179797509]"
"[0, 14, 20]","[0.1267180779931733, 0.3037267615626294, 0.5695551604441975]"
"[0, 9, 15, 28]","[0.1605097110814928, 0.5198806666437812, 0.31671218694358094, 0.002897435331145164]"
"[0, 6, 24, 17, 13]","[0.10327103435013199, 0.3445837570726679, 0.1169478202251777, 0.1942073784401823, 0.24099000991184022]"
"[0, 20, 15, 28, 21, 6]","[0.09177398695116605, 0.36986757539976867, 0.2308406717886637, 0.0010194747547066074, 0.007728554792262046, 0.2987697363134332]"
"[0, 6]","[0.34559992808854784, 0.6544000719114522]"
"[0, 26, 11]","[0.3907739821755151, 0.008395225450883477, 0.6008307923736016]"
"[0, 20, 4, 11]","[0.12858560104011157, 0.6152650402264012, 0.0378379931474281, 0.21831136558605935]"
"[0, 6, 16, 29, 4]","[0.19373927406317532, 0.4176594098742216, 0.27908622779191067, 0.016035975619963748, 0.09347911265072886]"
"[0, 13, 26, 2, 17, 22]","[0.19402760944668007, 0.3586530312331173, 0.0007943418090535636, 0.03907623217511484, 0.3462635038767416, 0.06118528145929286]"
"[0, 13]","[0.37037705537265336, 0.6296229446273469]"
"[0, 29, 23]","[0.4290105509774744, 0.14493293144646704, 0.4260565175760587]"
"[0, 26, 23, 12]","[0.2730065319131054, 0.004434650697994849, 0.13304832069787112, 0.5895104966910287]"
"[0, 7, 21, 5, 16]","[0.16069674786626087, 0.45225332976071614, 0.042582933594391456, 0.09967291419999108, 0.24479407457864052]"
"[0, 23, 15, 9, 4, 20]","[0.07064950006720522, 0.025568490295397373, 0.19776848718642878, 0.3962164998420633, 0.02019328386319823, 0.2896037387457072]"
"[0, 10]","[0.15928294232269213, 0.840717057677308]"
"[0, 17, 22]","[0.26744812929089123, 0.6484904547146675, 0.08406141599444136]"
"[0, 25, 7, 27]","[0.15314109890563088, 0.2354846074465402, 0.6093936069276644, 0.0019806867201646863]"
"[0, 27, 11, 1, 9]","[0.1599751530351953, 0.003314239980861347, 0.21737658168438506, 0.04482365117870435, 0.5745103741208543]"
"[0, 16, 28, 23, 15, 8]","[0.10147953418891723, 0.1272080700656667, 0.0015490359607423167, 0.09212655668604502, 0.27696368193355553, 0.4006731211650734]"
"[0, 9]","[0.22387921129745417, 0.7761207887025459]"
"[0, 6, 19]","[0.15642108961836465, 0.3792177599155753, 0.46436115046606025]"
"[0, 29, 16, 2]","[0.30633688588433466, 0.026621084152708446, 0.5492496110347999, 0.1177924189281572]"
"[0, 30, 6, 24, 15]","[0.10928718507401672, 0.0031560295183881127, 0.3746063716911592, 0.13754919824360418, 0.37540121547283206]"
"[0, 19, 15, 27, 21, 1]","[0.14586077022435479, 0.4516369790667462, 0.36849728839926305, 0.0007060816080476122, 0.014716841176841808, 0.018582039524746706]"
"[0, 1]","[0.654406942982526, 0.34559305701747417]"
"[0, 22, 1]","[0.4460911420638254, 0.3216207150541551, 0.23228814288201965]"
"[0, 2, 15, 16]","[0.22278618252649923, 0.05202387524999598, 0.45647758681221356, 0.2687123554112915]"
"[0, 15, 17, 8, 2]","[0.1263378432112689, 0.27408015933605007, 0.1710801162789765, 0.3946472117433328, 0.03385466943037192]"
"[0, 12, 8, 21, 18, 27]","[0.1280083746061996, 0.18887445612404688, 0.40621336636922756, 0.03510166248066655, 0.24051788506213506, 0.0012842553577244618]"
"[0, 21]","[0.5760605629790763, 0.42393943702092396]"
"[0, 4, 23]","[0.367788111344341, 0.3031561795965614, 0.32905570905909776]"
"[0, 21, 9, 30]","[0.16965071544886084, 0.07186341235814482, 0.7490356261244602, 0.009450246068534299]"
"[0, 26, 3, 13, 9]","[0.14092078943025454, 0.0015886836181071271, 0.06366478480722612, 0.26253250279939877, 0.5312932393450136]"
"[0, 19, 11, 6, 2, 25]","[0.08112650689533867, 0.2996656160814222, 0.1605870356813291, 0.3314706121632728, 0.012131038556094847, 0.11501919062254251]"
"[0, 12]","[0.38229898441852733, 0.6177010155814728]"
"[0, 18, 30]","[0.2566635123723457, 0.7185826098605961, 0.024753877767058417]"
"[0, 6, 23, 14]","[0.13376746267966516, 0.3874894255523963, 0.11923614018258749, 0.3595069715853512]"
"[0, 10, 26, 24, 4]","[0.08337046299824921, 0.7645670878964541, 0.00026478060301785456, 0.10845861184674427, 0.043339056655534655]"
"[0, 28, 18, 14, 4, 24]","[0.1430107881659461, 0.0015898923149058148, 0.3641202687140862, 0.3559191645996243, 0.04180471613975292, 0.09355517006568478]"
"[0, 21]","[0.5760605629790763, 0.42393943702092396]"
"[0, 21, 8]","[0.21087219491918816, 0.08701416909473048, 0.7021136359860816]"
"[0, 11, 5, 29]","[0.290369220917156, 0.5414606821668727, 0.1494682549807304, 0.018701841935241097]"
